num,patch,mag,magerr,elongation_norm,fwhm_norm,significance_abs,residual,psffit_sigma_ratio,psffit_peak_ratio,frac_det,density,density_good,bapsf,psf,score
327,3_7,25.267896,0.248393,0.762104,0.805115,9.249329,0.961940,0.866352,0.799987,0.755556,1,0,0.890206,3.986879,1
328,3_7,24.844577,0.165015,0.883662,1.147057,8.193448,0.998202,0.902225,0.880707,0.822222,2,2,0.867032,3.955643,1
329,3_7,25.622151,0.339439,0.528085,1.163081,4.765538,1.037302,0.915852,0.085339,0.866667,1,0,0.874047,3.968261,0
330,3_7,24.918133,0.184728,0.492049,1.265154,6.379681,1.060310,1.071951,1.071110,0.755556,0,0,0.892139,3.990420,1
331,3_7,24.996405,0.197663,1.066206,1.094392,8.379913,0.998741,0.912876,0.708164,0.933333,2,2,0.865378,3.954192,1
332,3_7,25.299193,0.250801,1.111325,1.183668,5.078985,0.914533,0.846604,0.831085,0.822222,0,0,0.868381,3.960262,0
333,3_7,24.456780,0.115373,0.970122,1.016806,15.566711,1.199457,0.967004,0.935649,0.911111,1,1,0.875517,3.973488,1
334,3_7,25.691351,0.358472,0.939262,0.901615,5.060429,1.008431,0.951356,1.433493,0.755556,0,0,0.870104,3.964953,0
335,3_7,24.823198,0.166943,0.809277,1.192474,7.805761,1.058345,1.087634,0.799961,0.866667,2,2,0.864553,3.956191,1
336,3_7,24.519802,0.127389,0.914948,1.100147,12.832531,0.979673,0.925714,0.922399,0.888889,1,1,0.875814,3.976651,1
337,3_7,27.077607,1.347904,0.906049,0.860501,5.105659,0.895192,1.023547,0.703613,0.711111,0,0,0.879670,3.982064,0
338,3_7,25.258923,0.246390,0.900964,1.212261,5.893452,0.952131,1.008409,1.520666,0.888889,1,0,0.850037,3.929878,1
339,3_7,25.498310,0.292901,0.439109,0.755789,5.094000,0.817392,1.071951,1.261352,0.733333,0,0,0.865251,3.960199,1
340,3_8,24.821051,0.294555,0.752952,0.785472,10.108686,1.198798,2.419113,1.615903,0.755556,0,0,0.906881,3.975193,0
341,3_8,25.893294,0.449036,0.664150,0.878414,4.876780,1.001323,0.957142,1.075579,0.755556,0,0,0.889290,3.993465,0
342,3_8,25.453871,0.317762,0.488517,0.818020,4.072265,0.999814,1.127699,2.039117,0.711111,0,0,0.877164,3.989845,0
343,3_8,25.462013,0.300760,0.683861,0.676385,4.571455,1.016659,1.090812,1.725091,0.688889,0,0,0.897564,3.986807,0
